2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	10	3
15	7	1	2
5	2	1	2
1	3	8	3
2	5	0	1
15	15	1	1
5	2	4	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
8	8	0	1
5	17	1	1
5	2	1	2
1	3	8	3
2	5	0	1
21	17	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
18	17	1	1
15	22	18	2
1	3	8	3
2	5	0	1
1	7	1	1
7	8	7	2
1	3	8	3
2	5	0	1
3	27	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
10	9	12	2
1	3	8	3
2	5	0	1
8	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
5	7	1	1
15	12	11	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
1	7	1	1
5	2	1	2
1	3	8	3
2	5	0	1
12	7	1	1
6	6	6	2
1	3	8	3
